gene_id	gene_short_name	value_1	value_2	fold_change	log2_fold_change	test_stat	p_value	q_value
XLOC_029140	H39E23.3	0.0604255	18.4839	305.896544575733	8.2569	-8.38473	0	0
XLOC_009821	nlp-32	0.390742	35.8708	91.8017658685327	6.52045	-4.39769	1.09408e-05	0.00108166
XLOC_031744	K06C4.1	0.0859571	6.87893	80.0272816621037	6.32242	-4.3593	1.30481e-05	0.00123688
XLOC_031737	F07B7.8	0.0819354	6.55651	80.0206254567731	6.3223	-4.31567	1.59118e-05	0.00142455
XLOC_001495	C54C8.12	0.479074	33.7926	70.5375714150639	6.14032	-3.71584	0.000202532	0.0121331
XLOC_013565	C50F7.5	1.20646	73.5329	60.9493952016446	5.92954	-10.5313	0	0
XLOC_002288	F48C1.9,spe-11	3.82283	217.596	56.920246321259	5.83087	-7.90927	2.66454e-15	1.34184e-12
XLOC_008334	cnc-6	2.46204	92.0883	37.4032052145424	5.22509	-8.02443	1.11022e-15	5.77137e-13
XLOC_007521	clec-60	0.0562993	1.66656	29.6017384545078	4.88761	-3.3729	0.000743805	0.0356739
XLOC_028920	lipl-1	1.44966	41.441	28.5866567600398	4.83727	-9.42805	0	0
XLOC_021290	F57H12.6	7.99411	220.662	27.6031307156628	4.78676	-11.5864	0	0
XLOC_013603	ora-1	9.72309	254.977	26.2238935835712	4.71281	-11.1744	0	0
XLOC_006347	ins-19	0.627611	15.0978	24.0559188308768	4.58832	-3.77263	0.000161533	0.0101684
XLOC_011904	F56D6.9	13.3501	281.729	21.1032018345615	4.39939	-6.39944	1.55952e-10	4.40907e-08
XLOC_034922	C45B2.3	1.69688	35.3659	20.8416847741182	4.3814	-4.45403	8.4273e-06	0.000870551
XLOC_006584	col-17	0.759112	15.6119	20.5660097227801	4.36219	-5.25563	1.47521e-07	2.64144e-05
XLOC_009598	C18D11.6	7.39515	140.805	19.0402431852596	4.25098	-7.02194	2.18803e-12	7.50214e-10
XLOC_019532	F56D6.8	38.4778	712.862	18.5265199031738	4.21152	-6.55935	5.4043e-11	1.64321e-08
XLOC_028248	col-146	0.493275	9.12018	18.4890603381433	4.2086	-4.82305	1.41378e-06	0.000185228
XLOC_032627	far-3	48.5392	855.396	17.6227846079382	4.13937	-13.73	0	0
XLOC_037297	dhs-26	2.00349	34.5626	17.2512620041812	4.10863	-7.14519	8.98837e-13	3.36855e-10
XLOC_031800	col-145	0.611078	10.5128	17.2037360886022	4.10465	-5.00328	5.63624e-07	8.41e-05
XLOC_029091	spp-12	1.9203	32.1316	16.732603116683	4.06459	-5.0776	3.82239e-07	6.03899e-05
XLOC_011957	dpy-13	1.40761	23.1248	16.4283991505177	4.03812	-5.13835	2.77154e-07	4.51146e-05
XLOC_030842	lys-7	43.3156	705.846	16.2953676852653	4.02639	-15.3513	0	0
XLOC_029579	cyp-37B1	0.145367	2.36851	16.2932217598236	4.0262	-4.10242	4.08857e-05	0.00312262
XLOC_014441	21ur-15387,F55G11.4	11.9184	193.093	16.2012138088753	4.01803	-11.7835	0	0
XLOC_031000	Y47D7A.13	1.15098	18.4966	16.0702447908954	4.00632	-6.50626	7.70457e-11	2.25744e-08
XLOC_005009	rol-6	0.343523	5.47625	15.9414394516537	3.99471	-4.15037	3.31944e-05	0.00264815
XLOC_032683	col-161	1.32353	19.7224	14.9013382908956	3.89737	-5.08748	3.62846e-07	5.78936e-05
XLOC_023965	dpy-4	1.14569	17.07	14.8992726699522	3.89717	-4.72139	2.34236e-06	0.000285963
XLOC_001497	nlp-39	1.46956	21.4755	14.6136028486209	3.86924	-4.76729	1.86724e-06	0.000238815
XLOC_031523	ftn-1	4.1476	59.8569	14.4317065143629	3.85117	-7.56766	3.79696e-14	1.65373e-11
XLOC_013465	C42D4.3	0.546786	7.44487	13.6157070790712	3.7672	-4.38998	1.13359e-05	0.00110714
XLOC_028180	grd-6	0.117046	1.56134	13.3395676237316	3.73764	-3.31156	0.000927781	0.0415311
XLOC_007297	T24B8.5	6.4624	85.2306	13.1886957843376	3.72123	-6.03143	1.62514e-09	3.63739e-07
XLOC_014144	col-125	2.24838	29.5828	13.157376973213	3.7178	-6.42095	1.3543e-10	3.89724e-08
XLOC_011180	Y47D3A.13	0.54054	6.78876	12.5591768020588	3.65067	-3.75291	0.000174792	0.0108307
XLOC_037648	T22B7.7	18.5338	232.421	12.5403872981122	3.64851	-12.4097	0	0
XLOC_036412	F40E10.5	0.667616	8.36793	12.5340434993284	3.64778	-5.181	2.20703e-07	3.66662e-05
XLOC_005485	rol-1	0.575527	7.08986	12.318886909053	3.6228	-3.77011	0.000163177	0.0102319
XLOC_006586	col-73	2.9927	36.7642	12.2846087055614	3.61878	-5.2491	1.52841e-07	2.70663e-05
XLOC_011905	dct-8	27.9754	340.713	12.1790525471856	3.60633	-6.07546	1.23631e-09	2.85172e-07
XLOC_035696	R07E3.2	0.622399	7.55738	12.1423015291051	3.60197	-4.14631	3.37884e-05	0.00266912
XLOC_008158	col-88	0.850015	10.1027	11.8852471592916	3.5711	-4.04603	5.20929e-05	0.00388647
XLOC_028366	B0024.4	5.34061	62.6537	11.7315359068807	3.55232	-8.4974	0	0
XLOC_001860	grl-16	1.02704	11.878	11.5652135478897	3.53172	-4.14743	3.36224e-05	0.00266909
XLOC_038307	col-175	0.956118	10.9256	11.4271204837635	3.51439	-3.59409	0.000325525	0.0179696
XLOC_022782	col-133	1.78662	20.3591	11.3953236855497	3.51037	-5.04831	4.45735e-07	6.90675e-05
XLOC_019621	ZK180.6	0.333855	3.71038	11.1137208214521	3.47427	-3.71412	0.000203914	0.0121707
XLOC_007178	col-77	2.36907	26.2098	11.0633009447616	3.46771	-5.32915	9.86737e-08	1.80696e-05
XLOC_026589	col-138	1.70045	18.7669	11.0364172408706	3.4642	-4.31934	1.56496e-05	0.00141682
XLOC_021676	ech-9	2.24307	24.4671	10.9078888541652	3.4473	-7.37891	1.5965e-13	6.4319e-11
XLOC_002151	R12E2.7	1.52111	16.4261	10.7988067447211	3.4328	-3.41102	0.000647199	0.0323198
XLOC_030928	nlp-34	62.7576	668.736	10.65589598535	3.41358	-7.58923	3.21965e-14	1.51082e-11
XLOC_010481	C23G10.6	0.929383	9.89297	10.6446750190286	3.41206	-5.95627	2.58058e-09	5.61975e-07
XLOC_007647	sqt-1	0.803359	8.3451	10.3877406874485	3.37681	-3.31911	0.00090306	0.0408787
XLOC_006079	fbxa-163	0.195708	2.02577	10.3510125794988	3.3717	-3.31915	0.000902917	0.0408787
XLOC_019619	ZK180.5	1.01351	10.4538	10.3144858260527	3.3666	-4.25982	2.04589e-05	0.00176308
XLOC_004232	F56D3.1	0.804764	8.21251	10.204899009359	3.35119	-4.74638	2.07088e-06	0.000260721
XLOC_000287	col-49	0.953033	9.61687	10.090809435985	3.33497	-3.38426	0.000713713	0.034643
XLOC_000789	col-7	0.678442	6.82352	10.0576405927892	3.33022	-4.27245	1.93337e-05	0.00169327
XLOC_005221	ZK970.7	21.821	218.658	10.0205514509967	3.32489	-9.47215	0	0
XLOC_012166	ssq-2	0.274148	2.71316	9.89664823090939	3.30694	-3.26132	0.00110893	0.0488263
XLOC_029002	col-162	1.49049	13.6685	9.17049748582702	3.197	-4.28325	1.84187e-05	0.00162195
XLOC_038672	col-180	0.805629	7.20954	8.94895981477816	3.16172	-3.95969	7.50472e-05	0.00535127
XLOC_004974	W01C9.2	0.264817	2.2724	8.58102507516445	3.10115	-3.36348	0.000769674	0.036805
XLOC_002681	col-63	1.24023	10.5793	8.53008430418832	3.09256	-3.73935	0.000184495	0.0112619
XLOC_033701	Y39B6A.24	9.47765	80.6984	8.51460733969895	3.08994	-8.05685	8.88178e-16	4.771e-13
XLOC_026931	F25A2.1	0.723387	5.85243	8.09033812808613	3.0162	-3.90379	9.46963e-05	0.00641189
XLOC_022062	col-130	1.0079	8.13811	8.07431572086996	3.01334	-3.69547	0.000219481	0.012815
XLOC_002598	col-62	0.921302	7.43431	8.06933620359504	3.01245	-3.97328	7.08893e-05	0.00512279
XLOC_038783	F19H6.3	0.196689	1.58514	8.05916292937661	3.01063	-3.81301	0.000137285	0.00888492
XLOC_032025	col-12	2.71366	21.835	8.0463249375632	3.00833	-4.18882	2.8041e-05	0.00230916
XLOC_019283	col-104	1.9293	15.3539	7.95824326753771	2.99245	-4.34136	1.41601e-05	0.00131039
XLOC_014428	C32H11.4	0.552026	4.32559	7.83585119128291	2.97009	-3.83144	0.000127397	0.00834555
XLOC_013729	col-3	5.7704	44.8981	7.78075417545417	2.95991	-6.3337	2.39348e-10	6.53744e-08
XLOC_011230	tbx-38	1.2568	9.73925	7.74921407645359	2.95405	-4.71696	2.39401e-06	0.000290071
XLOC_031871	col-147	1.90662	14.7315	7.72652655964003	2.94982	-4.7272	2.27633e-06	0.000280023
XLOC_021407	col-117	5.67666	43.8165	7.71871130945713	2.94836	-6.29371	3.09966e-10	7.91462e-08
XLOC_028943	F15B9.6	2.06878	15.929	7.6996880674088	2.9448	-4.5549	5.24117e-06	0.000566855
XLOC_034979	col-167	2.57272	18.6116	7.23418253021493	2.85483	-5.30837	1.10609e-07	2.00276e-05
XLOC_028903	ugt-18	2.31411	16.1753	6.98984275117698	2.80526	-5.44431	5.20058e-08	9.74504e-06
XLOC_033113	Y6E2A.4	0.378556	2.60796	6.88926465002099	2.78435	-3.61545	0.000299829	0.0169535
XLOC_037813	nas-33	0.499629	3.41888	6.84281526708267	2.77459	-3.94994	7.81706e-05	0.00550096
XLOC_011335	col-97	1.55562	10.5855	6.8046454813873	2.76652	-3.77699	0.000158736	0.010071
XLOC_003144	col-65	0.943296	6.39339	6.77771982296124	2.7608	-3.75215	0.000175324	0.0108307
XLOC_014443	K10D11.2	1.24783	8.41996	6.74767271629787	2.75439	-3.90571	9.39493e-05	0.00638815
XLOC_031045	C02E7.7	6.56539	43.9738	6.69781254876812	2.74369	-3.51635	0.000437527	0.0231172
XLOC_000757	col-60	1.0586	7.02825	6.63915668471986	2.731	-3.54555	0.000391789	0.021116
XLOC_032024	col-13	3.55689	22.7391	6.39298629030482	2.67649	-4.74667	2.0679e-06	0.000260721
XLOC_013156	col-112	2.43364	15.4868	6.36367430526903	2.66986	-3.92108	8.81546e-05	0.00609704
XLOC_027312	cyp-35B1	0.961776	5.95039	6.18687120069121	2.62921	-4.20662	2.59223e-05	0.00216445
XLOC_034982	col-170	1.05533	6.46577	6.12678404270565	2.61513	-3.70274	0.000213285	0.0126364
XLOC_031011	F41F3.3	11.4596	68.9952	6.02073658904188	2.58994	-4.45174	8.51759e-06	0.000874274
XLOC_006416	col-71	1.8074	10.8366	5.99570748642269	2.58393	-4.06328	4.83887e-05	0.00364385
