gene_id	gene_short_name	value_1	value_2	fold_change	log2_fold_change	test_stat	p_value	q_value
XLOC_033948	scl-20	0.0345428	20.4669	592.50766196471	9.21069	-3.95164	7.76162e-05	0.00127431
XLOC_029405	D1086.9	0.136239	76.0357	558.103931847868	9.12439	-13.5738	0	0
XLOC_029406	H39E23.3	0.428934	218.773	510.03767200111	8.99446	-21.5579	0	0
XLOC_039245	col-183	0.0291551	11.9967	411.477575703063	8.68467	-3.2536	0.00113951	0.0124243
XLOC_032024	K06C4.1	0.127206	40.6002	319.167512629133	8.31817	-7.00914	2.39786e-12	1.35579e-10
XLOC_032017	F07B7.8	0.12137	38.6959	318.827000106225	8.31663	-6.93391	4.09361e-12	2.25228e-10
XLOC_019748	F56D6.8	6.00571	1901.7	316.648843495643	8.30674	-10.8568	0	0
XLOC_002331	F48C1.9,spe-11	0.906101	259.371	286.249626390962	8.16113	-7.29897	2.8999e-13	1.78039e-11
XLOC_009307	fip-1	1.12831	262.86	232.968324145743	7.86399	-3.97743	6.96647e-05	0.00115744
XLOC_013786	ora-1	1.51242	332.68	219.966497912912	7.78114	-18.3562	0	0
XLOC_012072	F56D6.9	2.9105	621.292	213.465631379993	7.73786	-10.2805	0	0
XLOC_009722	C18D11.6	0.815465	122.903	150.716128366084	7.23569	-7.7535	8.88178e-15	6.48234e-13
XLOC_012073	dct-8	5.40928	781.781	144.525474626887	7.17518	-13.1584	0	0
XLOC_008433	cnc-6	0.476309	60.6877	127.412233981601	6.99336	-6.96544	3.2736e-12	1.81507e-10
XLOC_010629	C23G10.6	0.138069	17.4731	126.553184438887	6.9836	-9.04227	0	0
XLOC_021516	F57H12.6	0.845115	91.7428	108.556326779728	6.7623	-12.154	0	0
XLOC_031204	nlp-34	10.6048	1085.28	102.338132379373	6.6772	-14.1567	0	0
XLOC_001528	nlp-39	0.286741	28.8182	100.501972048389	6.65108	-5.2376	1.62679e-07	5.17907e-06
XLOC_034282	NA	0.416036	41.6346	100.074458559644	6.64493	-3.13483	0.00171952	0.0173713
XLOC_037588	dhs-26	1.62038	151.118	93.260871095336	6.5432	-18.6774	0	0
XLOC_027310	cyp-33C1	0.0142622	1.30764	91.6860284008707	6.51863	-2.83894	0.00452634	0.0368896
XLOC_005300	ZK970.7	3.78767	334.148	88.2197642497928	6.46303	-21.2991	0	0
XLOC_011595	NA	0.39912	33.5869	84.1522534612607	6.39493	-3.64534	0.00026704	0.00370156
XLOC_039849	NA	0.0758609	5.29031	69.7368841160145	6.12385	-3.05029	0.00228623	0.0217161
XLOC_027564	cyp-35B2	0.0914495	6.25657	68.415437902336	6.09625	-6.3017	2.94391e-10	1.35847e-08
XLOC_037941	T22B7.7	6.84132	455.754	66.6179936701628	6.05784	-27.4581	0	0
XLOC_032913	far-3	19.511	1194.23	61.2076468852898	5.93564	-24.9873	0	0
XLOC_033461	F35E8.10	0.1243	7.46905	60.089041331685	5.90903	-4.45815	8.26715e-06	0.00017757
XLOC_036157	spp-9	0.289269	17.0826	59.0542915176053	5.88397	-3.70745	0.000209355	0.00299184
XLOC_029763	F35E8.13	0.123818	6.66769	53.8505808081222	5.75089	-4.30392	1.67804e-05	0.000327574
XLOC_002834	fip-6	2.31077	116.473	50.4044778173515	5.65548	-10.6805	0	0
XLOC_031802	ftn-1	3.35572	158.02	47.0897121942182	5.55734	-15.5188	0	0
XLOC_030860	Y40B10A.6	0.451804	19.764	43.7448113090291	5.45104	-7.59027	3.19744e-14	2.16774e-12
