gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant	gene_short_name
XLOC_004016	glu	noglu	OK	1.17548	39.1219	5.05666	-10.2983	0	0	yes	F22E5.1
XLOC_007347	glu	noglu	OK	5.64161	274.367	5.60386	-10.3015	0	0	yes	T24B8.5
XLOC_011798	glu	noglu	OK	489.88	81.819	-2.58192	10.8497	0	0	yes	ilys-2
XLOC_012019	glu	noglu	OK	4.68875	57.7799	3.62329	-8.85182	0	0	yes	F49F1.1
XLOC_014134	glu	noglu	OK	79.3517	0.14071	-9.13939	11.4256	0	0	yes	fmo-2
XLOC_014451	glu	noglu	OK	10.8548	324.352	4.90116	-14.6326	0	0	yes	F08G5.6
XLOC_014523	glu	noglu	OK	0.520578	446.61	9.74469	-14.1588	0	0	yes	dod-21
XLOC_014533	glu	noglu	OK	10.4076	180.346	4.11506	-12.1915	0	0	yes	21ur-15387,F55G11.4
XLOC_017778	glu	noglu	OK	27.4654	148.54	2.43516	-9.27325	0	0	yes	Y105C5B.15
XLOC_019653	glu	noglu	OK	2.99157	72.2659	4.59434	-10.3186	0	0	yes	F49F1.7
XLOC_021418	glu	noglu	OK	9.77355	84.9043	3.11888	-8.98448	0	0	yes	clec-52
XLOC_022234	glu	noglu	OK	0.569322	394.29	9.4358	-14.1486	0	0	yes	C32H11.9
XLOC_022235	glu	noglu	OK	1.53881	164.108	6.73669	-14.2796	0	0	yes	dod-24
XLOC_024207	glu	noglu	OK	2.77508	29.9798	3.43339	-9.18811	0	0	yes	col-135
XLOC_027040	glu	noglu	OK	60.1984	11.1339	-2.43477	8.90406	0	0	yes	W07B8.1
XLOC_027205	glu	noglu	OK	9.75568	431.94	5.46844	-11.3099	0	0	yes	F15E11.14
XLOC_027207	glu	noglu	OK	9.42272	368.193	5.28817	-11.1014	0	0	yes	F15E11.13
XLOC_027210	glu	noglu	OK	114.229	530.778	2.21619	-9.51748	0	0	yes	clec-209
XLOC_027228	glu	noglu	OK	107.326	509.62	2.24742	-9.58472	0	0	yes	F56A4.2
XLOC_027832	glu	noglu	OK	851.818	64.6882	-3.71897	19.0243	0	0	yes	cpr-4
XLOC_028391	glu	noglu	OK	169.37	5.14549	-5.04073	11.108	0	0	yes	F58E6.7
XLOC_029005	glu	noglu	OK	1279.16	229.47	-2.47882	11.3972	0	0	yes	C15C8.3
XLOC_029369	glu	noglu	OK	26.7811	5.31541	-2.33296	8.73754	0	0	yes	haf-7
XLOC_029446	glu	noglu	OK	126.713	18.2309	-2.7971	9.33123	0	0	yes	clec-47
XLOC_029621	glu	noglu	OK	4.20286	35.163	3.06462	-8.72974	0	0	yes	oac-20
XLOC_030601	glu	noglu	OK	706.679	193.173	-1.87116	9.5936	0	0	yes	cpr-5
XLOC_030743	glu	noglu	OK	10.3548	392.153	5.24304	-11.2119	0	0	yes	Y19D10B.7
XLOC_030745	glu	noglu	OK	9.75568	430.512	5.46367	-11.3027	0	0	yes	F15E11.1
XLOC_031304	glu	noglu	OK	98.4578	15.2974	-2.68622	10.3811	0	0	yes	K09H11.7
XLOC_031307	glu	noglu	OK	94.7302	7.44282	-3.6699	14.1557	0	0	yes	C53A3.2
XLOC_032620	glu	noglu	OK	56.5049	6.93078	-3.02729	9.56924	0	0	yes	cdr-5
XLOC_032872	glu	noglu	OK	17.7704	198.965	3.48496	-11.3163	0	0	yes	F35E12.5
XLOC_034773	glu	noglu	OK	13.5816	0.298603	-5.50729	8.43146	0	0	yes	amt-1
XLOC_038566	glu	noglu	OK	16.3074	1.03538	-3.97729	9.14676	0	0	yes	oac-14
XLOC_027684	glu	noglu	OK	128.827	36.3369	-1.82593	8.19315	2.22045e-16	9.01069e-14	yes	F44E7.2
XLOC_032734	glu	noglu	OK	3.09306	30.5026	3.30183	-8.27502	2.22045e-16	9.01069e-14	yes	T16G1.7
XLOC_014049	glu	noglu	OK	159.946	43.0004	-1.89516	8.00497	1.11022e-15	4.38358e-13	yes	gst-4
XLOC_019295	glu	noglu	OK	0.121757	18.2995	7.23165	-7.89132	2.88658e-15	1.10974e-12	yes	asm-3
XLOC_014530	glu	noglu	OK	1.92283	22.2474	3.53233	-7.50682	6.06182e-14	2.27069e-11	yes	F55G11.8
XLOC_037100	glu	noglu	OK	48.9081	17.3904	-1.49179	7.44921	9.39249e-14	3.43037e-11	yes	R193.2
XLOC_029036	glu	noglu	OK	1.26571	16.4209	3.69751	-7.42401	1.13687e-13	4.05086e-11	yes	lipl-1
XLOC_010548	glu	noglu	OK	6.73276	89.605	3.73431	-7.28303	3.26406e-13	1.13535e-10	yes	F42A10.7
